"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Bench Press (Smith Machine)",,"",2,"normal",27.22,12,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Bench Press (Smith Machine)",,"",3,"normal",27.22,12,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Incline Bench Press (Dumbbell)",,"",0,"normal",22.68,12,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Incline Bench Press (Dumbbell)",,"",1,"normal",22.68,12,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Incline Bench Press (Dumbbell)",,"",2,"normal",22.68,12,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Overhead Press (Barbell)",,"",0,"normal",18.14,10,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Overhead Press (Barbell)",,"",1,"normal",18.14,10,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Overhead Press (Barbell)",,"",2,"normal",18.14,10,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Lateral Raise (Dumbbell)",,"",0,"normal",9.07,20,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Lateral Raise (Dumbbell)",,"",1,"normal",9.07,20,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Lateral Raise (Dumbbell)",,"",2,"normal",9.07,20,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Chest Fly (Machine)",,"",0,"normal",22.68,15,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Chest Fly (Machine)",,"",1,"normal",22.68,15,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Chest Fly (Machine)",,"",2,"normal",22.68,15,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Triceps Rope Pushdown",,"",0,"normal",18.14,15,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Triceps Rope Pushdown",,"",1,"normal",18.14,15,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Triceps Rope Pushdown",,"",2,"normal",18.14,15,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Cable Crunch",,"",0,"normal",27.22,20,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Cable Crunch",,"",1,"normal",27.22,20,,,
"Push (2026)","22 Mar 2026, 11:16","22 Mar 2026, 12:27","","Cable Crunch",,"",2,"normal",27.22,20,,,
"Lower (2026)","20 Mar 2026, 11:09","20 Mar 2026, 11:51","","Hip Thrust (Machine)",,"",0,"normal",92.99,10,,,
"Lower (2026)","20 Mar 2026, 11:09","20 Mar 2026, 11:51","","Hip Thrust (Machine)",,"",1,"normal",97.52,10,,,
"Lower (2026)","20 Mar 2026, 11:09","20 Mar 2026, 11:51","","Hip Thrust (Machine)",,"",2,"normal",103.42,10,,,
"Lower (2026)","20 Mar 2026, 11:09","20 Mar 2026, 11:51","","Bulgarian Split Squat",,"",0,"normal",13.61,12,,,
"Lower (2026)","20 Mar 2026, 11:09","20 Mar 2026, 11:51","","Bulgarian Split Squat",,"",1,"normal",13.61,12,,,
"Lower (2026)","20 Mar 2026, 11:09","20 Mar 2026, 11:51","","Bulgarian Split Squat",,"",2,"normal",13.61,12,,,
"Lower (2026)","20 Mar 2026, 11:09","20 Mar 2026, 11:51","","Leg Extension (Machine)",,"",0,"normal",45.36,15,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Incline Bench Press (Dumbbell)",,"",0,"normal",36.29,7,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Incline Bench Press (Dumbbell)",,"",1,"normal",36.29,10,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Incline Bench Press (Dumbbell)",,"",2,"normal",36.29,7,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Shoulder Press (Dumbbell)",,"",0,"normal",31.75,8,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Shoulder Press (Dumbbell)",,"",1,"normal",31.75,9,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Shoulder Press (Dumbbell)",,"",2,"normal",31.75,8,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","T Bar Row",,"",0,"normal",20.41,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","T Bar Row",,"",1,"normal",20.41,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","T Bar Row",,"",2,"normal",20.41,9,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Lateral Raise (Machine)",,"",0,"normal",24.95,20,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Lateral Raise (Machine)",,"",1,"normal",24.95,19,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Lateral Raise (Machine)",,"",2,"normal",24.95,15,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Preacher Curl (Machine)",,"",0,"normal",27.22,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Preacher Curl (Machine)",,"",1,"normal",27.22,8,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Preacher Curl (Machine)",,"",2,"normal",27.22,7,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Triceps Extension (Machine)",,"",0,"normal",29.48,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Triceps Extension (Machine)",,"",1,"normal",29.48,11,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Triceps Extension (Machine)",,"",2,"normal",29.48,9,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Crunch (Machine)",,"",0,"normal",34.02,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Crunch (Machine)",,"",1,"normal",36.29,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Crunch (Machine)",,"",2,"normal",36.29,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Cable Fly Crossovers",,"",0,"normal",24.95,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Cable Fly Crossovers",,"",1,"normal",24.95,12,,,
"Upper (2026)","19 Mar 2026, 11:17","19 Mar 2026, 12:42","","Cable Fly Crossovers",,"",2,"normal",24.95,12,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Squat (Barbell)",,"",0,"normal",61.24,8,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Squat (Barbell)",,"",1,"normal",63.5,8,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Squat (Barbell)",,"",2,"normal",63.5,8,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Romanian Deadlift (Barbell)",,"",0,"normal",65.77,10,,,
"Leg (2026)","17 Mar 2026, 12:00","17 Mar 2026, 13:15","","Romanian Deadlift (Barbell)",,"",1,"normal",68.04,10,,,
